ID,Matches played,Name,Highlander games,6's games,Defaults,Country
22900,132,Ceymoure,3,115,0,Denmark
28613,132,Selek,55,49,0,Germany
116480,132,PJC,9,113,1,England
63676,132,Hot,39,79,0,France
113262,132,slowtown,18,88,2,Ukraine
113486,132,None_,39,89,3,Finland
89277,132,TheNewbie,16,79,1,Estonia
29224,131,Strno,96,0,1,Slovakia
59587,131,Irppa,12,112,0,Finland
125565,131,JuN,63,45,1,Germany
43547,131,Mars,0,122,0,CzechRepublic
50851,131,s0rex,14,89,1,Israel
95749,131,hemp,11,99,0,Norway
21095,131,Azunis,18,106,0,France
120821,131,Offside,21,105,4,England
92098,130,milkyeu,6,97,0,CzechRepublic
20005,130,sano,1,86,0,Russia
762,130,TonyGappa,8,97,1,Netherlands
95814,129,Woona,66,48,2,Spain
104385,129,I stole your bees.,68,32,0,Scotland
73083,129,Medico,3,120,0,France
124136,129,Chez,27,79,1,Estonia
90928,129,S@GA,49,34,1,Germany
101156,129,Warped,14,111,3,UnitedKingdom
130453,129,Whip_Cactus,37,79,1,Scotland
98988,129,Eli,27,99,1,England
6429,129,huhystah,27,67,0,Lithuania
31450,129,hp,9,98,1,Sweden
121342,129,Cyanic,34,75,1,UnitedKingdom
14957,128,Entire,11,81,0,Lithuania
12500,128,RazorsEdge,5,108,1,Germany
125440,128,pluxa,38,75,1,Russia
115778,128,numb,47,69,3,England
5313,128,cookye,12,105,0,Finland
12499,128,prpht,61,53,0,Germany
1711,128,Vasa_kot,29,62,1,Russia
3394,128,Gompy,6,79,0,Norway
104006,128,Samus,35,88,2,Germany
90404,128,Dejvi,37,69,0,Italy
56531,128,hr,1,97,0,England
95873,128,HEMSTRAND,21,105,2,Finland
114717,128,TBourdon,64,43,1,France
91638,127,MrSmithers,12,104,1,UnitedKingdom
117378,127,sumire,61,31,0,Belgium
96957,127,Ascend,18,89,1,England
106236,127,utka,27,83,1,Russia
89070,127,MALU!,8,99,1,Netherlands
4235,127,mort,7,91,0,Russia
28338,127,ari,10,109,1,UnitedKingdom
101355,127,swir,54,54,2,Poland
