ID,Matches played,Name,Highlander games,6's games,Points,Defaults,Country,Joined
12500,128,RazorsEdge,5,124,403,1,Germany,5435
125440,128,pluxa,47,85,482,1,Russia,2791
115778,128,numb,63,84,479,4,England,3268
114717,128,TBourdon,86,44,548,1,France,3312
91638,127,MrSmithers,12,110,407,1,UnitedKingdom,3916
117378,127,adje,81,34,514,1,Belgium,3188
4235,127,mort,7,91,406,0,Russia,5769
28338,127,ari,10,109,439,1,UnitedKingdom,5089
101355,127,swir,56,69,341,4,Poland,3678
94280,127,sicko,16,102,454,0,England,3777
119086,127,puck,28,107,553,1,UnitedKingdom,3096
90128,127,Deity,103,79,473,3,Russia,3993
106222,127,I'm Hotep,46,83,326,2,Finland,3534
105445,127,Bv,10,147,417,0,Germany,3570
129595,127,DelT,107,85,684,1,CzechRepublic,2524
61907,127,Steve!,81,26,457,0,European,4463
5121,127,Mirelin,0,94,460,6,Latvia,5720
20230,127,Blooddrunk,41,74,411,0,Germany,5222
100436,127,myownigorek,5,90,402,0,Russia,3684
96957,127,Ascend,18,108,404,1,England,3694
106236,127,utka,29,120,544,1,Russia,3533
89070,127,MALU!,8,99,381,1,Netherlands,4049
89311,126,LilCute,22,124,504,0,Portugal,4036
39506,126,Sef,25,65,245,0,Spain,5063
5017,126,maggles!,33,54,305,0,UnitedKingdom,5728
92182,126,nachodog1661256,58,33,369,1,Croatia,3881
63997,126,Kilgors,9,95,433,0,Latvia,4349
115721,125,Swanny,45,54,348,0,England,3270
68334,125,TaylorSwiftFan100,9,96,331,0,Austria,4275
46595,125,tms,7,140,518,5,CzechRepublic,4713
113001,125,Nightmare,73,21,477,1,Netherlands,3368
52231,125,JacquesLEB,6,113,326,1,England,4645
60960,125,MoistPenguin,41,56,346,0,UnitedKingdom,4492
10353,125,Enef,6,72,257,0,UnitedKingdom,5494
93150,125,Lanzer,25,111,492,0,Israel,3832
118036,125,toemas_,24,118,718,0,England,3153
91807,125,Teatime,90,14,383,2,Germany,3904
108799,125,Foz,88,53,392,2,Sweden,3480
94793,125,Maccy,73,51,471,0,England,3748
14729,125,YoOko,29,84,413,1,Russia,5373
99975,125,BrannMolvik Norway,80,61,431,1,Norway,3686
7072,125,fat0n,3,107,389,0,Russia,5633
94432,125,Gigi,49,133,673,1,England,3770
56918,125,Setsul,39,77,369,1,Germany,4569
7492,125,eppz,12,97,345,2,Sweden,5613
8901,124,Natural,6,94,468,0,Denmark,5560
621,124,Erner0,2,91,312,2,Spain,5963
2574,124,numlocked,0,99,557,0,England,5830
111497,124,gamma,61,93,477,1,Ireland,3421
63133,123,Neeko,9,109,380,0,Germany,4395
11142,123,xxxlasagne,4,59,355,1,Hungary,5472
57127,123,phromelo,47,42,443,2,Poland,4567
49224,123,Dingo,17,63,423,0,Italy,4666
5320,123,Asskicker,11,97,248,0,Belgium,5703
67343,123,SageLuke,40,73,349,0,Finland,4288
88729,123,Callum,14,81,444,1,Wales,4066
86357,123,fnzkie,90,39,443,0,Russia,4083
5195,123,LUH-3417,10,92,236,0,Netherlands,5713
5510,122,D1ego$,14,64,293,1,Russia,5694
79618,122,Nevo,5,146,548,0,France,4127
115636,122,tiram,50,115,557,1,UnitedKingdom,3273
93212,122,Temrane,81,107,594,0,England,3829
113770,122,Faisal,55,51,429,1,SaudiArabia,3352
20353,122,Herr_P,16,78,469,0,Sweden,5218
13484,122,toogyboogy,7,78,386,0,Norway,5421
128537,121,Blanc,40,110,698,1,Denmark,2618
91301,121,Namtac,5,98,377,0,France,3927
20777,121,furbo,36,51,402,0,Sweden,5211
121057,121,Superiumentarius,88,30,382,1,Germany,3006
126325,121,narkkari,38,54,384,0,Ukraine,2688
101144,121,nash,24,108,347,0,Finland,3680
72185,121,Charizard™,70,35,328,0,Russia,4208
16941,120,Jack,36,58,315,0,Russia,5308
93515,120,pozker,83,10,399,0,Russia,3816
92091,120,Jonez,57,61,360,1,Germany,3888
23165,120,Yabloko Moloko,20,75,409,2,Russia,5161
102447,120,gona,13,122,505,1,Finland,3667
75470,120,Bejcn,50,57,366,0,England,4159
73376,120,Zafus,58,61,424,0,UnitedKingdom,4188
24027,120,BeaVerN,2,128,398,0,Sweden,5122
82320,120,RaTSLaYeR,17,110,407,3,UnitedKingdom,4107
120982,120,Juho,36,87,421,0,Finland,3012
131227,120,Kanga,49,99,442,5,Sweden,2347
302,120,xzr,8,95,380,1,Finland,6022
6958,120,Damasko,9,78,293,0,Spain,5636
115164,120,NURWHAL,35,69,415,1,Ireland,3293
61778,120,Burn,72,29,415,0,Finland,4468
78681,120,Raipe,79,54,466,5,Finland,4135
126416,120,Aelkyr,43,105,341,0,France,2678
108889,119,Cronk,62,36,375,0,Sweden,3479
4809,119,Retsh0ck,5,71,308,0,Israel,5736
24023,119,Dahlbeck,15,82,441,0,Sweden,5122
89256,119,Jake,20,100,418,0,England,4039
107807,119,Apolo,39,132,497,4,England,3487
39064,119,doks,0,93,361,0,Latvia,5070
117356,119,Demind,21,79,308,2,CzechRepublic,3189
39596,119,TaKaS,22,66,219,1,Spain,5061
9085,119,HarryHook,12,69,366,0,Spain,5551
71426,118,Raelyn,67,60,472,1,England,4222
115395,118,Ama,2,117,377,0,France,3285
2208,118,Admirable,19,68,336,1,Ireland,5854
70142,118,Phnx,13,137,567,2,Israel,4245
125181,118,Lowenzahn,41,66,302,0,Germany,2822
115322,118,equal,4,119,421,0,Sweden,3288
54456,118,Korv,36,66,472,0,Sweden,4613
116783,118,u,47,49,352,5,Belarus,3223
10481,118,Hat,23,74,419,0,England,5489
51498,118,thetree,84,12,317,0,UnitedKingdom,4649
80740,118,Bobinsky,6,87,300,2,Sweden,4118
93568,118,MARKO,44,93,498,2,Croatia,3812
51108,117,zinneR,33,63,411,1,Poland,4651
102677,117,Texiq,10,88,332,2,CzechRepublic,3661
